score_phrase,title,url,score,genre,release_year,release_month,release_day
Amazing,NBA 2K13,/games/nba-2k13/ps3-132077,9.1,Sports,2012,9,27
Amazing,NBA 2K13,/games/nba-2k13/pc-140490,9.1,Sports,2012,9,27
Good,Lili: Child of Geos,/games/lili/iphone-138013,7,Adventure,2012,9,26
Great,Marvel vs. Capcom Origins,/games/marvel-vs-capcom-origins/xbox-360-137157,8.2,Fighting,2012,9,26
Great,Marvel vs. Capcom Origins,/games/marvel-vs-capcom-origins/ps3-137160,8.2,Fighting,2012,9,26
Great,Dead or Alive 5,/games/dead-or-alive-5/ps3-117918,8.8,Fighting,2012,9,25
Great,Dead or Alive 5,/games/dead-or-alive-5/xbox-360-866449,8.8,Fighting,2012,9,25
Bad,Medal of Honor Warfighter,/games/medal-of-honor-warfighter/pc-101082,4,Shooter,2012,10,26
Great,Professor Layton and the Miracle Mask,/games/professor-layton-and-the-mask-of-miracle/3ds-77742,8.7,Adventure,2012,10,26
Great,Hotline Miami,/games/hotline-miami/pc-139657,8.8,Action,2012,10,26
Okay,Edna & Harvey: Harvey's New Eyes,/games/edna-harvey-harveys-new-eyes/pc-145776,6,Adventure,2012,10,26
Bad,Medal of Honor Warfighter,/games/medal-of-honor-warfighter/ps3-101085,4,Shooter,2012,10,26
Bad,Medal of Honor Warfighter,/games/medal-of-honor-warfighter/xbox-360-101086,4,Shooter,2012,10,26
Great,Transformers: Fall of Cybertron,/games/transformers-fall-of-cybertron/xbox-360-92426,8.5,Shooter,2012,8,21
Great,Transformers: Fall of Cybertron,/games/transformers-fall-of-cybertron/ps3-92425,8.5,Shooter,2012,8,21
Amazing,Hero Academy,/games/hero-academy-136971/pc-122908,9,Board,2012,8,20
Amazing,Hero Academy,/games/hero-academy-136971/iphone-122803,9,Strategy,2012,8,20
Amazing,Puzzle Craft,/games/puzzlecraft/iphone-134348,9,Puzzle,2012,8,17
Mediocre,Realms Of Ancient War,/games/realms-of-ancient-war/xbox-360-111182,5.5,Action,2012,9,24
Mediocre,Realms Of Ancient War,/games/realms-of-ancient-war/ps3-111181,5.5,Action,2012,9,24
Great,Anomaly: Warzone Earth,/games/anomaly-warzone-earth/ps3-138479,8.2,Action,2012,9,23
Good,Darksiders II,/games/darksiders-2/pc-91963,7.5,Action,2012,8,17
Good,Left 4 Dead 2: Cold Stream,/games/left-4-dead-2-cold-stream/mac-140189,7,Shooter,2012,8,17
Good,Left 4 Dead 2: Cold Stream,/games/left-4-dead-2-cold-stream/pc-140187,7,Shooter,2012,8,17
Amazing,Puzzle Craft,/games/puzzlecraft/android-134352,9,Puzzle,2012,8,17
Good,Left 4 Dead 2: Cold Stream,/games/left-4-dead-2-cold-stream/xbox-360-140188,7,Shooter,2012,8,17
Amazing,Horn,/games/horn/iphone-136814,9,"Action, Adventure",2012,8,16
Amazing,Forza Horizon,/games/forza-horizon/xbox-360-129564,9,Racing,2012,10,12
Bad,FIFA Soccer 13,/games/fifa-2013/vita-115689,4,Sports,2012,10,12
Awful,Mugen Souls,/games/mugen-souls/ps3-120256,3.9,"Strategy, RPG",2012,10,12
Good,Crazy Taxi,/games/crazy-taxi/iphone-144755,7.1,"Racing, Action",2012,10,11
Mediocre,New Little King's Story,/games/new-kings-story/vita-116369,5.8,RPG,2012,10,11
Good,Fable: The Journey,/games/fable-the-journey/xbox-360-27948,7.2,"Action, RPG",2012,10,9
Great,The Lord of the Rings Online: Riders of Rohan,/games/the-lord-of-the-rings-online-riders-of-rohan/pc-127207,8.3,RPG,2012,10,26
Good,Doom 3: BFG Edition,/games/doom-3/xbox-360-135333,7.6,RPG,2012,10,25
Okay,Rugby League Live 2,/games/rugby-league-live-2/xbox-360-136983,6,Sports,2012,10,25
Okay,Rugby League Live 2,/games/rugby-league-live-2/ps3-136984,6,Sports,2012,10,25
Good,Doom 3: BFG Edition,/games/doom-3/ps3-135329,7.6,RPG,2012,10,25
Amazing,Punch Quest,/games/punch-quest/iphone-136667,9.3,Action,2012,10,25
Okay,He-Man: The Most Powerful Game in the Universe,/games/he-man-the-most-powerful-game-in-the-universe/iphone-144763,6.8,Action,2012,10,25
Good,Doom 3: BFG Edition,/games/doom-3/pc-135338,7.6,RPG,2012,10,25
Great,Dokuro,/games/dokuro/vita-130906,8.8,Puzzle,2012,10,19
Painful,Naughty Bear: Panic in Paradise,/games/naughty-bear-panic-in-paradise/xbox-360-135404,2.3,Action,2012,10,18
Painful,Naughty Bear: Panic in Paradise,/games/naughty-bear-panic-in-paradise/ps3-135407,2.3,Action,2012,10,18
Good,Borderlands 2: Captain Scarlett and her Pirate's Booty,/games/borderlands-2-captain-scarlett-and-her-pirates-booty/ps3-145419,7.5,"Shooter, RPG",2012,10,18
Great,Skylanders Giants,/games/skylanders-giants/ps3-128142,8,"Action, Adventure",2012,10,18
Good,Borderlands 2: Captain Scarlett and her Pirate's Booty,/games/borderlands-2-captain-scarlett-and-her-pirates-booty/pc-145418,7.5,"Shooter, RPG",2012,10,18
Great,Rayman: Jungle Run,/games/rayman-jungle-run/iphone-141641,8.8,Platformer,2012,9,20
Amazing,FIFA Soccer 13,/games/fifa-2013/pc-115688,9,Sports,2012,9,20
Amazing,FIFA Soccer 13,/games/fifa-2013/ps3-115679,9,Sports,2012,9,20
Amazing,Torchlight II,/games/torchlight-ii/pc-82633,9.1,"Action, RPG",2012,9,20
Amazing,FIFA Soccer 13,/games/fifa-2013/xbox-360-115691,9,Sports,2012,9,20
Bad,The Sims 3: Supernatural,/games/the-sims-3-supernatural/pc-136180,4.5,Simulation,2012,9,19
Good,Retro/Grade,/games/retrograde-138590/ps3-21766,7,,2012,8,15
Amazing,Iron Brigade,/games/iron-brigade/pc-121033,9,Action,2012,8,15
Okay,Cafeteria Nipponica,/games/cafeteria-nipponica/iphone-139633,6,Simulation,2012,8,15
Great,Sleeping Dogs,/games/sleeping-dogs/xbox-360-14279324,8.5,Action,2012,8,14
